,global ASI
0,1.9233934791155478
1,1.900814926029054
2,1.8758555151417724
3,1.9112790620482256
4,1.8205612433327532
5,1.8680508639326312
6,1.9690819376698738
7,1.8183669314001438
8,1.9175152039455976
9,1.8822169435773854
10,1.6321942354014263
11,1.8389820733602682
12,2.0009869565580596
13,1.946417793409087
14,2.1163886538473053
15,1.9827765960391002
16,1.963156981580431
17,1.988444550225502
18,2.032617749134394
19,1.9323049120403057
20,1.9310398168091185
21,1.7592475337582174
22,1.8130006989651224
23,2.152807698424217
24,2.015354098134832
25,1.7955294208387556
26,1.8751184072976925
27,1.9997205649872112
28,1.6329967769843157
29,1.6086058426509784
30,1.7090346180482827
31,1.8541653231834827
32,1.9641168592670561
33,1.871696798143348
34,1.8872943860719291
35,2.0314258588288205
36,2.13670642125197
37,2.0566653388756024
38,1.863389014224816
39,1.9327099977604778
40,2.059883538384756
41,1.9015401523822861
42,2.056386051318284
43,2.1137416871541013
44,2.0038847781550615
45,1.8337751486421552
46,1.9853983771679604
47,2.117737656358338
48,1.9361682377196643
49,2.050742934711753
50,2.1657535918108968
51,1.9485942398967282
52,1.9260450266838034
53,1.9806302629137298
54,1.937637911484589
55,1.9205980440096375
56,1.8553090651298139
57,1.857859696326833
58,2.0977957884316054
59,2.169162912790734
60,1.8367151077265191
61,2.0066238037021105
62,2.1554784311220176
63,1.9890600742002418
64,1.9482166593979566
65,1.9711652034591263
66,1.8575367810789425
67,1.7001751316667877
68,1.7045634640668408
69,1.9069170008471361
70,2.050007379873312
71,1.9323809139924242
72,1.9110045498185366
73,1.7916282068948082
74,1.9083683686115318
75,2.0457345307294417
76,1.9799640298405543
77,1.87778880269833
78,1.8116705874607746
79,1.7802424426017724
80,1.9977851290628712
81,1.956191242192603
82,2.1366324748399537
83,1.8536233210859656
84,1.9078012287790358
85,2.129202574253268
86,2.065217664445474
87,2.037273379786631
88,2.253464403490543
89,2.32131137771346
90,2.12991515022627
91,2.045104376536343
92,2.0017016260413727
93,1.9635152019132496
94,1.9076781360524948
95,2.051608858234246
96,1.956166306967525
97,2.031152425096443
98,1.8538212844719701
99,1.8850129072763424
100,2.03449640875803
101,2.1057532560342933
102,1.8725119395286633
103,1.7761591551160785
104,1.8716737773452083
105,2.2437652320852046
106,2.1419320747432904
107,1.8482958469564044
108,1.9402869540852208
109,2.002146168284406
110,2.0497917364741634
111,1.963362760059621
112,1.6665686474553265
113,1.7970846243496716
114,1.911763019159534
115,1.9582972194724955
116,2.051379628145131
117,1.9166707287890064
118,2.0687325652406696
119,2.1329580876524203
120,2.1125267968227472
121,1.8742101046862856
122,1.8857131790478345
123,2.0897582465684916
124,2.0115514927563964
125,1.9206235047969216
126,2.025165235630837
127,2.1149708834203884
128,1.9738683521824674
129,2.103419157367002
130,2.1597582278368948
131,2.109305908218794
132,2.1007776139737455
133,2.176665491042182
134,2.1614894344293645
135,2.259860810620637
136,2.1817598805275917
137,2.0997878150948575
138,1.9590241537021527
139,1.962373598676816
140,1.968173630154649
141,1.9392665348439762
142,2.0467474688368306
143,2.041803880556734
144,1.9680993595857463
145,2.001640864584782
146,1.9006539397577364
147,1.8924647296824981
148,1.9528071708314378
149,2.009135287129159
150,2.0431278022105044
151,1.948092858000229
152,2.0318634852814306
153,2.061441093586313
154,2.0037201676167364
155,2.0803969474954185
156,2.0491396702705904
157,1.9270055508890622
158,1.9754263638952974
159,2.145187688730481
160,1.8766783926409376
161,1.8059841451583187
162,1.849726495186537
163,1.7446554554303482
164,2.0144443958920366
165,2.126950184704918
166,1.861460594903891
167,2.144923737560383
168,1.9754810659634168
169,1.8283862922831058
170,2.188193741060706
171,1.986107355952566
172,2.06369791435739
173,2.2498718290521182
174,2.241918111277125
175,2.199023341707065
176,2.0649015553321086
177,1.9156460057056206
178,1.9189295959993196
179,1.9705499178629866
180,1.996876527747332
181,2.0183463864538034
182,1.7936928321750643
183,1.7734137923102493
184,2.047246195585672
185,1.9478178687848906
186,1.7666902569186491
187,1.800479719968098
188,1.9518106570976759
189,2.142536142944687
190,2.080634421880977
191,2.0502073977867843
192,1.9733771985227821
193,1.8117728943828493
194,1.8454674117277958
195,2.0118480135495167
196,1.9153507967975414
197,1.9081879630944623
198,1.7585834387868067
199,1.7145824186298773
200,1.6581594991820037
201,1.7329871005872166
202,1.8775621744774242
203,1.7921399965586182
204,1.7557725107762894
205,1.8465335660276245
206,1.839331039668566
207,1.9540046948213186
208,2.0108002431406917
209,2.0483640305197897
210,1.9694709366362781
211,2.0361614939068198
212,1.7934807730859805
213,1.9356517080405309
214,2.155526126440037
215,2.027520715160271
216,1.9089528253522374
217,1.9938987702787574
218,2.01565723429668
219,1.9072406177104886
220,1.9814371720876822
221,2.2968792846637416
222,2.1227413455110087
223,2.0041925758828274
224,1.9539184153614682
225,2.0801466258206505
226,1.8555143349837644
227,1.703510691806385
228,1.8252555806135091
229,1.8741089756733504
230,1.8926095630996034
231,1.9143733857622334
232,1.8844241053601538
233,1.883724170481913
234,2.077314948903092
235,2.088139777594729
236,2.0666279876803513
237,2.0183670482755294
238,1.8396659136977482
239,1.781289775343885
240,1.7749993195691276
241,1.7733190749853192
242,1.7750702043483781
243,1.761738467029435
244,1.8957318358694724
245,2.0234124098334636
246,2.0701764235535554
247,2.2125359794443806
248,2.1213852217549154
249,1.9941597355250253
250,1.9936609223558397
251,1.9381490461612079
252,1.948115121871113
253,2.009170455628157
254,2.0022418568013136
255,1.7619569081258177
256,1.6143441213416792
257,1.720659595024476
258,1.8408327110613958
