,Mean duration of spindles,Duration_std,condition,highpass,length of time used (min),lowpass,sampling frequency,spindle mean amplitude (RMS amplitude),spindle_RMS_amplitude_std,spindle_count,spindle density (# of spindles per minute),spindle measurement = density * amplitue
suj11_l2nap_day2_fast_spindle,0.6889868421052712,0.1876093454261579,load 2,0.0,26.767483333333335,500.0,1000.0,4.932694149557812,0.62466401573157,76,2.8392658007321074,0.23342049673851403
suj11_l5nap_day1_fast_spindle,0.680366906474814,0.1899458787862959,load 5,0.0,27.64581666666667,500.0,1000.0,6.634837006963754,0.9070348445946993,139,5.0278854727267355,0.5559866766870466
suj12_l2nap_day1_fast_spindle,0.7596190476190489,0.2572416133113863,load 2,0.0,26.842483333333334,500.0,1000.0,0.7153539521917691,0.071598090363284,21,0.7823419219160671,0.009327523096799384
suj12_l5nap_day2_fast_spindle,0.7497894736841811,0.18985567001961842,load 5,0.0,26.78165,500.0,1000.0,0.14687833929474178,0.019903052589677644,19,0.7094409791779073,0.0017366918808214417
suj13_l2nap_day2_fast_spindle,0.6641882352941133,0.14129035404322018,load 2,0.0,26.751649999999998,500.0,1000.0,11.718630093692756,1.3858404063611232,85,3.177374105896272,0.6205745302712694
suj13_l5nap_day1_fast_spindle,0.7463684210526258,0.1932914647033581,load 5,0.0,26.70248333333333,500.0,1000.0,5.8497654382312705,0.6554643338555416,38,1.4230886141051802,0.13874557650554867
suj14_l2nap_day2_fast_spindle,0.7732222222222352,0.2768500455344415,load 2,0.0,26.72415,500.0,1000.0,0.5075412409535742,0.06884915660539416,18,0.6735480829137689,0.0056975571640659195
suj14_l5nap_day1_fast_spindle,0.7572647058823345,0.22278815985396855,load 5,0.0,26.77831666666667,500.0,1000.0,1.8711468078619096,0.2943632987519193,34,1.2696839918366787,0.039596085805309475
suj15_l2nap_day1_fast_spindle,0.7827948717948728,0.22083742287355962,load 2,0.0,26.710816666666666,500.0,1000.0,3.247107156375633,0.35976057841873443,39,1.4600826506614988,0.07901741373104759
Suj15_l5nap_day2_fast_spindle,0.6844680851063857,0.1823645587931497,load 5,0.0,26.755816666666664,500.0,1000.0,9.432184455437023,1.161481522154782,94,3.5132547502131937,0.5522944473825194
suj16_l2nap_day2_fast_spindle,0.7304428571428496,0.1978650276100831,load 2,0.0,26.773316666666666,500.0,1000.0,9.533245883050153,1.418578493720909,70,2.6145434602486683,0.4154180946411887
suj16_l5nap_day1_fast_spindle,0.7342894736841789,0.2258758218872141,load 5,0.0,26.766650000000002,500.0,1000.0,4.529141267816219,0.6209903915495288,38,1.4196770981800113,0.10716530220567778
suj17_l2nap_day2_fast_spindle,0.8272249999999829,0.2882176427899236,load 2,0.0,26.863316666666666,500.0,1000.0,3.6161649365409865,0.5414109283546625,40,1.4890194124701654,0.08974232982005788
suj17_l5nap_day1_fast_spindle,0.7790592592592571,0.26522842205374425,load 5,0.0,26.74915,500.0,1000.0,19.87574025690077,3.068535298381561,135,5.046889340408947,1.671844360588158
suj18_l2nap_day1_fast_spindle,0.8373974358974345,0.2842664444177476,load 2,0.0,26.719983333333335,500.0,1000.0,8.401229378818346,1.5330703366259502,78,2.9191634974822214,0.40874270227702925
suj18_l5nap_day2_fast_spindle,0.8655588235294511,0.26138305701699016,load 5,0.0,26.756649999999997,500.0,1000.0,7.951322655924753,1.1493559537052516,34,1.2707121407201576,0.16839737056111387
suj19_l2nap_day1_fast_spindle,0.7467974683544206,0.2286491758885971,load 2,0.0,26.77081666666667,500.0,1000.0,11.497136801261659,1.663221893551865,79,2.9509745998285446,0.5654626445212859
suj19_l5nap_day2_fast_spindle,0.808708333333333,0.2587262241404706,load 5,0.0,26.710816666666666,500.0,1000.0,4.517342884567607,0.4593217305493067,24,0.8985124004070761,0.06764814331124443
suj20_l2nap_day2_fast_spindle,0.67353211009174,0.16637906122751914,load 2,0.0,26.787483333333334,500.0,1000.0,12.010832577728985,1.6809875996816304,109,4.0690645942228,0.8145475598195796
suj20_l5nap_day1_fast_spindle,0.8205535714285576,0.30509365979710207,load 5,0.0,27.09081666666667,500.0,1000.0,29.400883736833755,4.477290408202482,112,4.134242292437351,2.0258396163308605
suj21_l2nap_day1_fast_spindle,0.7100555555555569,0.1837669172463092,load 2,0.0,26.94915,500.0,1000.0,3.998034403969561,0.5798089604345263,54,2.0037737739409223,0.13351927476646222
suj21_l5nap_day2_fast_spindle,0.7313548387096631,0.19988472484359915,load 5,0.0,26.71915,500.0,1000.0,3.9912018912721914,0.5111503704471153,31,1.1602165488048835,0.07717764139792242
suj22_l2nap_day2_fast_spindle,0.6961333333333248,0.17975071878564788,load 2,0.0,26.810816666666664,500.0,1000.0,4.009795826631751,0.5284355859783317,60,2.2379027370172113,0.14955888425498978
suj22_l5nap_day1_fast_spindle,0.7030476190476319,0.20386724387892816,load 5,0.0,26.758316666666666,500.0,1000.0,7.8915919316488194,1.1570740209088164,84,3.139210924454017,0.4128895267194192
suj23_l2nap_day1_fast_spindle,0.6832207792207752,0.17896417043471394,load 2,0.0,26.735816666666665,500.0,1000.0,8.240723280435947,1.1115778331398287,77,2.880031717751905,0.3955590737478676
suj23_l5nap_day2_fast_spindle,0.6325217391304336,0.15051272056336076,load 5,0.0,26.794983333333334,500.0,1000.0,2.472900704063235,0.368478936958502,23,0.8583696326240172,0.035377714481040545
suj25_l2nap_day1_fast_spindle,0.7700666666666772,0.25609804670048986,load 2,0.0,26.78165,500.0,1000.0,0.8523492394145256,0.1153671627073151,15,0.5600849835615057,0.007956466829102442
suj25_l5nap_day2_fast_spindle,0.7688571428571253,0.2515709633082248,load 5,0.0,27.12248333333333,500.0,1000.0,1.0978119129817328,0.15589549850271622,35,1.2904423083186212,0.023611048984797142
suj26_l2nap_day2_fast_spindle,0.7396874999999992,0.21432601598739418,load 2,0.0,27.17415,500.0,1000.0,1.1592256162954606,0.1321797713256991,32,1.1775897314175419,0.0227515363690951
suj26_l5nap_day1_fast_spindle,0.7042500000000046,0.16450760931071265,load 5,0.0,26.744149999999998,500.0,1000.0,1.8011720338275141,0.2409882115179286,72,2.6921775416305995,0.08081791496805907
suj27_l2nap_day2_fast_spindle,0.684499999999994,0.18105122049972472,load 2,0.0,26.742483333333332,500.0,1000.0,3.927481097507147,0.46697053786212467,46,1.7201095136390352,0.11259496000765871
suj27_l5nap_day1_fast_spindle,0.8705921052631608,0.3294610963027336,load 5,0.0,27.920816666666667,500.0,1000.0,17.54855020190476,2.6389547549078283,152,5.443966837168684,1.5922287556593222
suj28_l2nap_day1_fast_spindle,0.7321555555555689,0.19815844848775307,load 2,0.0,26.79415,500.0,1000.0,3.47675037455124,0.5163006451821016,45,1.6794710785749876,0.09731836169139271
suj28_l5nap_day2_fast_spindle,0.785599999999991,0.23425635979684278,load 5,0.0,26.86415,500.0,1000.0,13.65309401504662,1.6050221597473826,20,0.7444866113389034,0.16940909495922532
suj29_l2nap_day2_fast_spindle,0.7014714285714287,0.2087437039875794,load 2,0.0,26.729983333333333,500.0,1000.0,5.945249370699853,0.7626188827600796,70,2.6187820294188984,0.2594885368733798
