,Mean duration of spindles,Duration_std,condition,highpass,length of time used (min),lowpass,sampling frequency,spindle mean amplitude (RMS amplitude),spindle_RMS_amplitude_std,spindle_count,spindle density (# of spindles per minute),spindle measurement = density * amplitue
suj22_l2nap_day2_slow_spindle,0.6779687500000038,0.1603782795154086,load 2,0.0,26.810816666666664,500.0,1000.0,5.497978981066069,0.6589848060273045,32,1.1935481264091794,0.10936837519814094
suj22_l5nap_day1_slow_spindle,0.708854545454532,0.210440052005834,load 5,0.0,26.758316666666666,500.0,1000.0,11.212615583983167,1.7567004309255558,55,2.055435724344892,0.38411351057775445
suj23_l2nap_day1_slow_spindle,0.7224874999999935,0.20388548496892128,load 2,0.0,26.735816666666665,500.0,1000.0,8.893865353683797,1.1272367382273532,80,2.9922407457162645,0.44354310497011423
suj23_l5nap_day2_slow_spindle,0.7282777777777772,0.17142173709794958,load 5,0.0,26.794983333333334,500.0,1000.0,3.357036767876362,0.49324966861200653,54,2.0153026157259535,0.11275741632315722
suj25_l2nap_day1_slow_spindle,0.9017272727272625,0.27820993340543126,load 2,0.0,26.78165,500.0,1000.0,1.7263813834351278,0.2439563436318629,33,1.232186963835313,0.03545374392127895
suj25_l5nap_day2_slow_spindle,0.9168904109589128,0.3432926578512078,load 5,0.0,27.12248333333333,500.0,1000.0,2.306752049417107,0.4313118992740492,73,2.6914939573502674,0.10347682003519149
suj26_l2nap_day2_slow_spindle,0.6635238095238188,0.13651506109129777,load 2,0.0,27.17415,500.0,1000.0,1.4577901524892094,0.14190462502259635,21,0.7727932612427619,0.018776173435828655
suj26_l5nap_day1_slow_spindle,0.6672682926829238,0.17895968569957255,load 5,0.0,26.744149999999998,500.0,1000.0,2.2023337446953164,0.29306482453501836,82,3.0660910890792943,0.11254259782981572
suj27_l2nap_day2_slow_spindle,0.8201785714285741,0.2789997694309356,load 2,0.0,26.742483333333332,500.0,1000.0,7.632652080902581,1.0769619854974335,84,3.1410695466451943,0.3995781835243528
suj27_l5nap_day1_slow_spindle,0.7801202531645522,0.260613884726108,load 5,0.0,27.920816666666667,500.0,1000.0,23.558134292095634,3.5194594309506524,158,5.658860264951658,2.221869834365584
suj28_l2nap_day1_slow_spindle,0.8048039215686359,0.3347312963920671,load 2,0.0,26.79415,500.0,1000.0,5.527470996175173,0.8780172943623619,51,1.9034005557183193,0.1753498560972786
suj28_l5nap_day2_slow_spindle,0.9240289855072453,0.3717914093798648,load 5,0.0,26.86415,500.0,1000.0,28.374223719036003,4.07649533592587,69,2.5684788091192168,1.2146432057925305
suj29_l2nap_day2_slow_spindle,0.7024915254237192,0.16312015593349416,load 2,0.0,26.729983333333333,500.0,1000.0,7.323421391701352,0.9697422225305727,59,2.207259139081643,0.2694114799363136
suj29_l5nap_day1_slow_spindle,0.7197450980392212,0.17978208405737367,load 5,0.0,26.74915,500.0,1000.0,11.504093476914905,1.8225637749442372,102,3.8132052794200937,0.7311244996852363
suj30_l2nap_day1_slow_spindle,0.7897894736842382,0.27449844746523383,load 2,0.0,26.792483333333333,500.0,1000.0,3.387452092174071,0.3882215602944606,19,0.7091541222071613,0.040037093582408596
suj30_l5nap_day2_slow_spindle,0.6267826086956422,0.11228249945471289,load 5,0.0,27.293316666666666,500.0,1000.0,7.93172583995072,1.098664868395152,23,0.8426971438062677,0.11140071184634735
suj32_l2nap_day1_slow_spindle,0.7771818181818033,0.22883160491744775,load 2,0.0,26.73165,500.0,1000.0,4.756030627925419,0.6645337212609186,33,1.2344916980433307,0.09785467209689566
suj32_l5nap_day2_slow_spindle,0.7861176470587987,0.24242444244368047,load 5,0.0,27.167483333333333,500.0,1000.0,4.8644994233320595,0.5044320183410667,17,0.6257480603343826,0.05073251797746265
